Track,Year,Traction,Braking,Lateral,Tyre Stress,Track Evolution,Asphalt Grip,Asphalt Abrasion,Downforce,Number of Laps,Circuit Length (km)
Bahrain,2022,4,4,3,3,4,3,5,3,57,5.412
Saudi Arabia,2022,2,2,3,3,4,3,2,2,50,6.174
Australia,2022,3,3,3,3,4,2,2,3,58,5.303
Emilia Romagna,2022,2,3,3,3,3,2,3,3,63,4.909
Miami,2022,3,3,3,3,5,3,2,2,57,5.412
Spain,2022,3,3,4,4,3,3,4,4,66,4.675
Monaco,2022,5,2,1,1,5,1,1,5,78,3.337
Azerbaijan,2022,5,4,1,3,5,1,1,1,51,6.003
Canada,2022,5,5,1,3,5,1,2,1,70,4.361
Great Britain,2022,3,2,5,5,3,4,3,4,52,5.891
Austria,2022,3,3,3,3,3,3,4,3,71,4.318
France,2022,4,2,4,4,3,3,3,3,53,5.842
Hungary,2022,4,3,3,3,4,3,2,5,70,4.381
Belgium,2022,3,4,5,5,3,3,4,2,44,7.004
Netherlands,2022,4,3,4,5,3,4,3,4,72,4.259
Italy,2022,3,4,2,5,3,2,3,1,53,5.793
Singapore,2022,5,5,2,2,4,2,3,5,61,5.063
Japan,2022,3,2,5,5,3,4,4,4,53,5.807
United States,2022,4,3,4,4,4,3,4,4,56,5.513
Mexico,2022,3,3,2,2,4,2,2,5,71,4.304
Brazil,2022,3,3,3,3,4,3,4,4,71,4.309
Abu Dhabi,2022,4,4,3,3,4,2,3,3,58,5.281
Bahrain,2023,4,4,3,3,4,3,5,3,57,5.412
Saudi Arabia,2023,2,2,3,3,4,3,2,2,50,6.174
Australia,2023,2,2,3,3,4,3,2,3,58,5.278
Azerbaijan,2023,5,4,1,3,5,1,1,1,51,6.003
Miami,2023,3,3,3,3,5,3,2,2,57,5.412
Emilia Romagna,2023,2,3,3,3,3,2,3,3,63,4.909
Monaco,2023,5,2,1,1,5,1,1,5,78,3.337
Spain,2023,3,3,5,5,3,3,4,4,66,4.657
Canada,2023,5,5,1,3,5,1,2,1,70,4.361
Austria,2023,2,3,3,3,3,3,4,3,71,4.318
Great Britain,2023,3,2,5,5,2,3,3,4,52,5.891
Hungary,2023,4,3,3,3,4,3,2,5,70,4.381
Belgium,2023,4,4,5,5,3,3,4,2,44,7.004
Netherlands,2023,4,3,4,5,4,2,3,4,72,4.259
Italy,2023,3,4,2,3,3,2,3,1,53,5.793
Singapore,2023,4,5,2,2,4,3,3,5,62,4.94
Japan,2023,3,2,5,5,3,3,4,4,53,5.807
Qatar,2023,3,3,5,5,4,3,3,4,57,5.419
United States,2023,4,3,4,4,4,3,4,4,56,5.513
Mexico,2023,3,3,2,2,3,1,2,5,71,4.304
Brazil,2023,3,3,3,3,4,3,4,4,71,4.309
Las Vegas,2023,2,3,2,3,5,3,3,1,50,6.201
Abu Dhabi,2023,4,4,3,3,4,4,3,3,58,5.281
Bahrain,2024,4,4,3,3,4,4,5,3,57,5.412
Saudi Arabia,2024,2,2,3,3,4,4,2,2,50,6.174
Australia,2024,2,2,3,3,4,3,2,3,58,5.278
Japan,2024,3,2,5,5,3,3,4,4,53,5.807
China,2024,3,4,4,4,5,2,4,3,56,5.451
Miami,2024,3,3,3,3,5,3,2,2,57,5.412
Emilia Romagna,2024,2,3,3,3,2,2,3,3,63,4.909
Monaco,2024,5,2,1,1,5,1,1,5,78,3.337
Canada,2024,5,5,1,3,5,1,1,1,70,4.361
Spain,2024,3,3,5,5,3,3,4,4,66,4.657
Austria,2024,2,3,3,3,3,3,4,3,71,4.318
Great Britain,2024,3,2,5,5,2,4,2,4,52,5.891
Hungary,2024,4,3,3,3,4,2,2,5,70,4.381
Belgium,2024,4,4,5,5,3,4,4,2,44,7.004
Netherlands,2024,4,3,4,5,4,3,3,4,72,4.259
Italy,2024,3,4,2,3,4,4,2,1,53,5.793
Azerbaijan,2024,5,4,1,3,5,2,1,2,51,6.003
Singapore,2024,4,5,2,2,5,3,3,5,62,4.94
United States,2024,4,3,4,4,4,3,3,4,56,5.513
